,hh_id,hh_race,hh_is_latinx,hh_zip_code,hh_state,hh_income,hh_size,hh_residence_type
20983,8265536,1,2,33771,FL,13,1,7
20984,8265879,1,2,58421,ND,19,3,1
20985,8265923,1,2,1564,MA,19,3,3
20986,8266115,1,2,3743,NH,16,4,5
20987,8283246,1,2,94041,CA,16,1,7
20988,8283496,1,2,85273,AZ,11,1,1
20989,8283665,1,2,74464,OK,15,1,1
20990,8283824,1,1,74434,OK,21,3,1
20991,8283837,1,2,95135,CA,21,2,3
20992,8284541,2,2,94043,CA,27,3,1
20993,8284862,1,2,77657,TX,26,2,1
20994,8284872,1,2,74403,OK,27,2,1
20995,8284985,3,2,20005,DC,27,2,5
20996,8285180,1,2,43730,OH,15,2,1
20997,8285329,1,2,7452,NJ,26,4,1
20998,8285566,4,1,75602,TX,16,4,1
20999,8285620,1,2,74464,OK,13,1,5
21000,8285621,4,1,78596,TX,26,2,1
21001,8264876,2,2,2301,MA,18,8,5
21002,8265027,1,2,80720,CO,13,2,1
21003,8265051,1,2,80120,CO,4,1,3
21004,8265177,1,2,33317,FL,4,1,6
21005,8265186,4,1,33068,FL,16,4,1
21006,8265194,1,2,33441,FL,15,2,5
21007,8265300,1,2,95380,CA,26,4,1
21008,8265337,1,2,95351,CA,11,2,5
21009,8265370,1,2,98569,WA,17,5,1
21010,8265620,1,2,16105,PA,13,2,1
21011,8265783,2,2,29403,SC,23,3,1
21012,8265880,1,2,49113,MI,11,1,7
21013,8265907,1,2,55421,MN,19,5,1
21014,8265950,1,2,80011,CO,26,3,1
21015,8283506,4,1,95821,CA,21,6,1
21016,8283727,1,2,71322,LA,17,1,1
21017,8283775,1,2,74344,OK,19,2,1
21018,8283823,1,2,35504,AL,18,2,1
21019,8266189,1,2,48336,MI,27,3,1
21020,8266355,1,2,48038,MI,23,5,1
21021,8282649,1,2,2135,MA,13,2,5
21022,8282759,1,2,76114,TX,4,1,1
21023,8282767,1,2,76112,TX,19,6,1
21024,8282958,1,2,79110,TX,17,2,1
21025,8282990,1,2,72032,AR,17,2,7
21026,8283056,1,2,73443,OK,13,1,1
21027,8283416,1,2,76014,TX,21,2,1
21028,8283632,1,2,79121,TX,23,2,1
21029,8283722,1,2,72034,AR,23,2,1
21030,8283732,1,2,72058,AR,17,2,1
21031,8283776,1,2,72032,AR,17,2,1
21032,8284081,1,2,2852,RI,27,4,1
21033,8284546,1,2,2151,MA,15,1,1
21034,8285012,1,2,2891,RI,10,5,3
21035,8285212,1,2,76109,TX,16,1,5
21036,8285237,1,2,76013,TX,4,1,5
21037,8226061,1,2,55103,MN,18,1,1
21038,8226289,1,2,45692,OH,23,3,1
21039,8226908,1,2,1826,MA,4,1,6
21040,8227410,1,2,55101,MN,11,1,1
21041,8228100,1,2,28345,NC,15,3,1
21042,8228575,2,2,2155,MA,18,1,5
